game,from_frame,to_frame,fen
8,00001,00001,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
8,00002,00002,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
8,00003,00003,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R
8,00004,00004,rnbqkbnr/1p1ppppp/p7/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R
8,00005,00005,rnbqkbnr/1p1ppppp/p7/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R
8,00006,00006,rnbqkbnr/1p1ppp1p/p5p1/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R
8,00007,00007,rnbqkbnr/1p1ppp1p/p5p1/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R
8,00008,00008,rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R
8,00009,00009,rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/3P1NP1/PPP2PBP/RNBQK2R
8,00010,00010,rnbqk1nr/3pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQK2R
8,00011,00011,rnbqk1nr/3pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1
8,00012,00012,rn1qk1nr/1b1pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1
8,00013,00013,rn1qk1nr/1b1pppbp/p5p1/1pp5/4P3/2PP1NP1/PP3PBP/RNBQ1RK1
8,00014,00014,rn1qk1nr/1b1p1pbp/p5p1/1pp1p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1
8,00015,00015,rn1qk1nr/1b1p1pbp/p5p1/1pp1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1
8,00016,00016,rn1qk2r/1b1pnpbp/p5p1/1pp1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1
