game,from_frame,to_frame,fen
19,00001,00001,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR
19,00002,00002,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR
19,00003,00003,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR
19,00004,00004,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR
19,00005,00005,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR
19,00006,00006,rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N5/PP2PPPP/R1BQKBNR
19,00007,00007,rnbqkb1r/ppp1pppp/5n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR
19,00008,00008,r1bqkb1r/ppp1pppp/2n2n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR
19,00009,00009,r1bqkb1r/ppp1pppp/2n2n2/8/2BPP3/2N5/PP3PPP/R1BQK1NR
19,00010,00010,r1bqkb1r/ppp2ppp/2n2n2/4p3/2BPP3/2N5/PP3PPP/R1BQK1NR
19,00011,00011,r1bqkb1r/ppp2ppp/2n2n2/4p3/2BPP3/2N2N2/PP3PPP/R1BQK2R
19,00012,00012,r2qkb1r/ppp2ppp/2n2n2/4p3/2BPP1b1/2N2N2/PP3PPP/R1BQK2R
19,00013,00013,r2qkb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/2N2N2/PP3PPP/R1BQK2R
19,00014,00014,r3kb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/2N2N2/PP3PPP/R1BqK2R
19,00015,00015,r3kb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/5N2/PP3PPP/R1BNK2R
19,00016,00016,r3kb1r/ppp2ppp/2n5/4P3/2B1n1b1/5N2/PP3PPP/R1BNK2R
19,00017,00017,r3kb1r/ppp2ppp/2n5/1B2P3/4n1b1/5N2/PP3PPP/R1BNK2R
19,00018,00018,r3kb1r/pppb1ppp/2n5/1B2P3/4n3/5N2/PP3PPP/R1BNK2R
19,00019,00019,r3kb1r/pppb1ppp/2n5/1B2P3/4nB2/5N2/PP3PPP/R2NK2R
19,00020,00020,2kr1b1r/pppb1ppp/2n5/1B2P3/4nB2/5N2/PP3PPP/R2NK2R
19,00021,00021,2kr1b1r/pppb1ppp/2B5/4P3/4nB2/5N2/PP3PPP/R2NK2R
19,00022,00022,2kr1b1r/ppp2ppp/2b5/4P3/4nB2/5N2/PP3PPP/R2NK2R
19,00023,00023,2kr1b1r/ppp2ppp/2b5/4P3/4nB2/5N2/PP3PPP/R2N1RK1
19,00024,00024,2kr3r/ppp2ppp/2b5/2b1P3/4nB2/5N2/PP3PPP/R2N1RK1
19,00025,00025,2kr3r/ppp2ppp/2b5/2b1P3/4nB2/2N2N2/PP3PPP/R4RK1
19,00026,00026,2kr3r/ppp2ppp/2b5/2b1P3/5B2/2n2N2/PP3PPP/R4RK1
19,00027,00027,2kr3r/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/R4RK1
19,00028,00028,2kr1r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/R4RK1
19,00029,00029,2kr1r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3R1RK1
19,00030,00030,2k2r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3r1RK1
19,00031,00031,2k2r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3R2K1
19,00032,00032,2k2r2/ppp3pp/2b2p2/2b1P3/5B2/2P2N2/P4PPP/3R2K1
19,00033,00033,2k2r2/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/3R2K1
19,00034,00034,2k1r3/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/3R2K1
19,00035,00035,2k1r3/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/4R1K1
19,00036,00036,2k1r3/ppp3pp/1bb1Pp2/8/5B2/2P2N2/P4PPP/4R1K1
19,00037,00037,2k1r3/ppp3pp/1bb1Pp2/8/2P2B2/5N2/P4PPP/4R1K1
19,00038,00038,2k1r3/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P4PPP/4R1K1
19,00039,00039,2k1r3/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P3RPPP/6K1
19,00040,00040,2kr4/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P3RPPP/6K1
19,00041,00041,2kr4/ppp3pp/2b1Pp2/b7/2P2B2/5N1P/P3RPP1/6K1
19,00042,00042,2kr4/ppp4p/2b1Pp2/b5p1/2P2B2/5N1P/P3RPP1/6K1
19,00043,00043,2kr4/ppp4p/2b1Pp2/b5p1/2P5/5N1P/P2BRPP1/6K1
19,00044,00044,2kr4/ppp4p/1bb1Pp2/6p1/2P5/5N1P/P2BRPP1/6K1
19,00045,00045,2kr4/ppp4p/1bb1Pp2/6p1/1BP5/5N1P/P3RPP1/6K1
