game,from_frame,to_frame,fen
18,00001,00001,2r3n1/1p1k4/1n1P4/7p/pP1N4/3KP2P/P4PBR/2R5 b - - 3 53
18,00002,00002,5r1k/5B1n/7P/6P1/2n5/p6P/6KN/2Q2r2 b - - 4 77
18,00003,00003,rn2kbnr/p3qpp1/1ppp4/P3p2p/6PP/1b1PPQ2/2PK1PB1/RNB3NR w kq - 2 12
18,00004,00004,1n6/2b1r2k/r3RP2/7p/PQ6/8/r7/3K4 b - - 0 60
18,00005,00005,1rk2B2/n1q5/1p1pp1r1/pP5p/P5pP/1RP1bP2/3QN1P1/1b1K1B1R w - - 10 43
18,00006,00006,4k1r1/2rb1n2/R6n/1N2Pp2/P1p3pp/1P6/2P5/R4K2 w - - 0 43
18,00007,00007,4N3/r2k4/B3q3/P7/2R1pK2/8/8/2r5 b - - 0 70
18,00008,00008,8/1r6/b5k1/2RP1pPq/5P2/7p/8/2K5 w - - 4 74
18,00009,00009,rnbk1qnr/4p1bp/B1pP1pp1/8/p7/1QN1P1PN/1P1P1P1P/R1B2K1R w - - 4 14
18,00010,00010,r2k2nr/pP4B1/2b5/2nppN2/8/1PNP2pB/P2R1PqP/5K2 w - - 0 45
18,00011,00011,3k1r1b/8/1pRP2nr/p6P/P7/3P1B2/3N4/B2KR3 w - - 2 58
18,00012,00012,7n/1B1k4/1p5r/2pQ4/1p1P4/N3Np1b/1PK2B2/4R3 b - - 1 58
18,00013,00013,7r/7R/1Pk4n/2P2p2/5N2/4p3/8/K1N5 b - - 2 73
18,00014,00014,2Nn4/2B4R/5bk1/1r2p3/8/2p2PP1/2P5/n2K4 b - - 2 74
18,00015,00015,6Q1/kr2p3/1pPP3n/p3Rp2/P6p/n2P2bP/R7/1N5K b - - 0 49
18,00016,00016,8/7k/3P2P1/8/rQ6/8/8/2R1K3 b - - 0 96
18,00017,00017,2bqkbnr/2rn2p1/2pPp2p/pN3p2/6P1/1Q6/PP1PPP1P/R1B1KBNR b Kk - 0 11
18,00018,00018,8/2B2k2/7P/8/PP4p1/2p1P1PB/N3K3/1N6 b - - 2 78
18,00019,00019,rnbqkbnr/1ppppp1p/p5p1/8/2P3P1/N7/PP1PPP1P/R1BQKBNR b KQkq - 0 3
18,00020,00020,4b3/1n6/1ppkp2P/3P4/r4prP/P4P2/R2B4/1N1K1n1R b - - 0 49
18,00021,00021,2N4r/6b1/7p/pP3r1k/P1P1ppnp/4R3/2bKP3/2B4B w - - 2 54
18,00022,00022,1n4R1/3k4/1p6/p1P5/8/8/8/5r1K w - - 1 86
18,00023,00023,rnbqkb1r/pppppppp/5n2/8/6P1/5P2/PPPPP2P/RNBQKBNR b KQkq - 0 2
18,00024,00024,1Bk3n1/5r2/6pr/2p1BpP1/ppp2P1p/P2b3P/RP4R1/4K3 b - - 7 42
18,00025,00025,2r5/8/2k3p1/1q1p2Pp/p2P2pP/8/6N1/KR5N b - - 0 89
18,00026,00026,1Rb3Q1/1nRq2k1/p7/2p5/4p1Np/7P/4K3/8 b - - 1 60
18,00027,00027,2bqk2r/2rpbppp/4p3/1P3n2/p3PPnP/3B4/PP6/RNBK2NR w k - 0 16
18,00028,00028,4r3/7k/p3B3/1pP5/1P2P3/PNp2pR1/4NK2/6Rn w - - 0 58
18,00029,00029,rnb1kb1r/1p1p1np1/1q5p/p1B2P2/3PP2P/P4N2/2P2PB1/RNb1K2R b KQkq - 0 15
18,00030,00030,rnbqkb1r/ppp1p1p1/5p1n/7p/4p1PP/5N2/PPPP1PB1/RNBQK2R w KQkq - 2 6
18,00031,00031,4n3/4k3/4Pn1p/1rb4p/4P3/p2rNB2/b1K5/8 b - - 3 81
18,00032,00032,1nR5/5B2/k7/5p2/Np6/8/3n3b/6RK b - - 9 95
18,00033,00033,8/5k2/8/1N1b4/nQ3P1P/4rRnK/3B4/5R2 w - - 1 62
18,00034,00034,k4n2/3rp3/2p4p/Pp5P/1P2pp2/3R3r/3NK1q1/8 w - - 0 65
18,00035,00035,6r1/2r5/k5P1/p6Q/p6P/P7/K4b1P/R7 b - - 10 78
18,00036,00036,1nbk3r/2pp1ppp/2pbp3/p7/1P1nPPQ1/N1PP3N/PR4PP/2B1K2R b K - 2 16
18,00037,00037,rn1qr1n1/3pk2p/b3p2N/2p1B2p/B3PP2/1p4P1/P1PP3P/RN4KR w - - 0 22
18,00038,00038,k7/8/3P4/p6P/2P3B1/5P2/1r4K1/2N3b1 w - - 2 75
18,00039,00039,8/8/7p/kN1P3r/1Q6/p4K2/8/r7 b - - 2 95
18,00040,00040,rnbqk2r/pppp3p/6pn/5p2/3p4/b1P3P1/PP1BPP1P/RN1QKBNR w KQkq - 0 7
18,00041,00041,4kb2/6B1/3P4/p2p3p/P2P1P1P/3b2p1/1K6/R5R1 w - - 10 87
18,00042,00042,r4b2/1p1kqpp1/1Pn3P1/3np1B1/1R2P1bp/p4NPP/P1N1KQ2/5B1R w - - 3 35
18,00043,00043,1nbk4/4R3/2ppq3/r3p3/n2b4/2p5/R3Bp1r/2B2KN1 b - - 3 38
18,00044,00044,rnbqkbnr/ppppppp1/8/7p/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2
18,00045,00045,r1bqkr2/pp2bp2/2npp2p/P1p1PQB1/6p1/3P2P1/1PPK1NBP/RN5R w - - 9 21
18,00046,00046,8/8/P1p5/7p/3n3P/4k3/2Br1rR1/3b1K2 w - - 3 99
18,00047,00047,k7/4K3/1r1P4/p1p5/pQP3P1/NP5p/5p1P/2N3R1 w - - 0 63
18,00048,00048,2r2r2/5b1k/qP5B/3p1p1P/1K5P/2p5/2N2P2/6N1 w - - 2 63
18,00049,00049,1k6/8/8/p3P3/3bP3/8/2K5/3r4 b - - 7 93
18,00050,00050,r1bk1b2/3P4/1P1pBp2/p1n4n/8/8/P3Pp1Q/B4K2 w - - 3 39
18,00051,00051,5k1n/1n6/8/p7/5p1b/2nb2R1/8/5K2 w - - 4 92
18,00052,00052,3k3r/p1n5/1rBp1p1p/b1p1p1Pp/Pp2PP1P/1PP5/N7/2R1K3 w - - 1 40
18,00053,00053,rnQ1kbn1/1p2pp1r/p2p4/2p5/2PP1p1N/6q1/PP1KP1PP/1RB2B1R b q - 0 17
18,00054,00054,rn5k/bb4r1/pqp2pn1/P4P2/pP1pPp2/B6P/2PP1KP1/1N1Q4 w - - 0 33
18,00055,00055,3r4/k2b4/1r3b1p/p2n2Bn/8/3N1P1P/8/5BK1 w - - 2 72
18,00056,00056,rn1q1bnr/p2kpppp/B1b5/8/3pP3/7N/PPPP1PPP/RNB1K2R b KQ - 3 8
18,00057,00057,6n1/p1P3k1/p7/P7/4r1b1/1R5P/5K2/8 b - - 5 73
18,00058,00058,r1bqk1nr/ppppb2p/n3pp1p/8/2P5/3P4/PP1QPPPP/RN2KBNR w KQkq - 0 6
18,00059,00059,1Qr2k1r/3pn2p/5pR1/1p3Pb1/4p1PP/P5K1/3PP3/RNB2B2 b - - 2 30
18,00060,00060,1r2k3/2ppbp2/p1br1Q2/1N1Pp1N1/P1n4p/1B3P2/1PP2KPP/R6R w - - 2 26
18,00061,00061,rnbqkbnr/ppp3pp/3p1p2/4p3/6Q1/2P1P3/PP1P1PPP/RNB1KBNR w KQkq - 0 4
18,00062,00062,8/1k1Pn3/7p/p6p/2P2p2/1Q1r4/n3NK2/3B1R2 b - - 2 81
18,00063,00063,1r2kb2/pppnp3/8/1b3pP1/2P1P2B/1P2n3/q4PQ1/R3KRNr b Q - 0 21
18,00064,00064,8/4b1p1/3p2P1/4k3/2qR4/1rN1p3/8/4K2Q b - - 12 99
18,00065,00065,8/1k6/r1rb3p/3P3B/1P4NP/4KPP1/6N1/1Rn3R1 w - - 3 66
18,00066,00066,2b1k1q1/rN1p3r/2p3pn/p1PPpp2/P6p/bPN5/3P1PPP/R3KB1R w K - 0 27
18,00067,00067,n6r/3pkp2/1q2p2p/pp6/1prPn1P1/N1PKBNP1/P3PPb1/3RQBR1 b - - 0 27
18,00068,00068,3Q2k1/6p1/2P1ppP1/7p/P6P/PBR1P2N/6K1/1n5R b - - 4 61
18,00069,00069,rnb2k2/2q1nr2/2pbp1R1/p6p/1p2P2P/PN6/1PPP4/1RBQKBN1 w - - 0 25
18,00070,00070,1R6/k7/P7/2P4r/7P/1n4K1/1b6/2Rr4 b - - 0 99
18,00071,00071,4k3/8/1n6/5Rp1/7p/7P/8/6K1 b - - 5 78
18,00072,00072,rnb3nr/2ppkpp1/pp3q1p/2P1p3/5P2/2N5/PP1QPKPP/R1B2BNR b - - 5 8
18,00073,00073,1k4r1/8/6p1/2P2p2/P4N1R/n1pp1B2/P6K/4R3 w - - 4 89
