game,from_frame,to_frame,fen
8,1,1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
8,2,2,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
8,3,3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R
8,4,4,rnbqkbnr/1p1ppppp/p7/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R
8,5,5,rnbqkbnr/1p1ppppp/p7/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R
8,6,6,rnbqkbnr/1p1ppp1p/p5p1/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R
8,7,7,rnbqkbnr/1p1ppp1p/p5p1/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R
8,8,8,rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R
8,9,9,rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/3P1NP1/PPP2PBP/RNBQK2R
8,10,10,rnbqk1nr/3pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQK2R
8,11,11,rnbqk1nr/3pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1
8,12,12,rn1qk1nr/1b1pppbp/p5p1/1pp5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1
8,13,13,rn1qk1nr/1b1pppbp/p5p1/1pp5/4P3/2PP1NP1/PP3PBP/RNBQ1RK1
8,14,14,rn1qk1nr/1b1p1pbp/p5p1/1pp1p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1
8,15,15,rn1qk1nr/1b1p1pbp/p5p1/1pp1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1
8,16,16,rn1qk2r/1b1pnpbp/p5p1/1pp1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1
8,17,17,rn1qk2r/1b1pnpbp/p5p1/1pp1p3/1P2P3/P1PP1NP1/5PBP/RNBQ1RK1
8,18,18,rn1qk2r/1b2npbp/p2p2p1/1pp1p3/1P2P3/P1PP1NP1/5PBP/RNBQ1RK1
8,19,19,rn1qk2r/1b2npbp/p2p2p1/1pp1p3/1P2P3/P1PP1NP1/3N1PBP/R1BQ1RK1
8,20,20,rn1q1rk1/1b2npbp/p2p2p1/1pp1p3/1P2P3/P1PP1NP1/3N1PBP/R1BQ1RK1
8,21,21,rn1q1rk1/1b2npbp/p2p2p1/1pp1p3/1P2P3/PNPP1NP1/5PBP/R1BQ1RK1
8,22,22,r2q1rk1/1b1nnpbp/p2p2p1/1pp1p3/1P2P3/PNPP1NP1/5PBP/R1BQ1RK1
8,23,23,r2q1rk1/1b1nnpbp/p2p2p1/1pp1p3/1P2P3/PNPPBNP1/5PBP/R2Q1RK1
8,24,24,2rq1rk1/1b1nnpbp/p2p2p1/1pp1p3/1P2P3/PNPPBNP1/5PBP/R2Q1RK1
8,25,25,2rq1rk1/1b1nnpbp/p2p2p1/1pp1p3/1P2P3/PNPPBNP1/5PBP/2RQ1RK1
8,26,26,2rq1rk1/1b1nnpb1/p2p2pp/1pp1p3/1P2P3/PNPPBNP1/5PBP/2RQ1RK1
8,27,27,2rq1rk1/1b1nnpb1/p2p2pp/1pp1p3/1P2P3/PNPPB1P1/3N1PBP/2RQ1RK1
8,28,28,2rq1rk1/1b1nn1b1/p2p2pp/1pp1pp2/1P2P3/PNPPB1P1/3N1PBP/2RQ1RK1
8,29,29,2rq1rk1/1b1nn1b1/p2p2pp/1pp1pp2/1P2PP2/PNPPB1P1/3N2BP/2RQ1RK1
8,30,30,2rq1r2/1b1nn1bk/p2p2pp/1pp1pp2/1P2PP2/PNPPB1P1/3N2BP/2RQ1RK1
8,31,31,2rq1r2/1b1nn1bk/p2p2pp/1pp1pp2/1P2PP2/PNPPB1P1/3NQ1BP/2R2RK1
8,32,32,2rq1r2/1b1nn1bk/p2p2pp/1p2pp2/1p2PP2/PNPPB1P1/3NQ1BP/2R2RK1
8,33,33,2rq1r2/1b1nn1bk/p2p2pp/1p2pp2/1P2PP2/1NPPB1P1/3NQ1BP/2R2RK1
8,34,34,2rq1r2/1b1nn1bk/p2p2pp/1p3p2/1P2Pp2/1NPPB1P1/3NQ1BP/2R2RK1
8,35,35,2rq1r2/1b1nn1bk/p2p2pp/1p3p2/1P2PB2/1NPP2P1/3NQ1BP/2R2RK1
8,36,36,3q1r2/1b1nn1bk/p2p2pp/1p3p2/1P2PB2/1NrP2P1/3NQ1BP/2R2RK1
8,37,37,3q1r2/1b1nn1bk/p2p2pp/1p3p2/1P2PB2/1NRP2P1/3NQ1BP/5RK1
8,38,38,3q1r2/1b1nn2k/p2p2pp/1p3p2/1P2PB2/1NbP2P1/3NQ1BP/5RK1
8,39,39,3q1r2/1b1nn2k/p2B2pp/1p3p2/1P2P3/1NbP2P1/3NQ1BP/5RK1
8,40,40,5r2/1b1nn2k/pq1B2pp/1p3p2/1P2P3/1NbP2P1/3NQ1BP/5RK1
8,41,41,5r2/1b1nn2k/pq4pp/1pB2p2/1P2P3/1NbP2P1/3NQ1BP/5RK1
